"JAVA-LIB","VERSION","RELEASED","LATEST_VERSION","LAST_CHECK","SOURCE","STATUS","COMMENT","ACTION"
"ajaxanywhere-1.2.1.migrated.jar","1.2.1",2007,"1.2.1",2022-01-24,"http://ajaxanywhere.sourceforge.net/changelog.html","latest release","used by JSPs",
"antlr-runtime-3.5.2.migrated.jar","3.5.2",2012,"3.5.2",2022-01-24,"https://theantlrguy.atlassian.net/wiki/spaces/ANTLR3/overview","latest release","used by jstyleparser and cssbox",
"antlr-runtime-4.4.migrated.jar","4.4",2014,"4.9.3",2022-01-24,"https://github.com/antlr/antlr4/blob/master/doc/index.md","???","used for EQL",
"aopalliance.migrated.jar",1,2004,1,2022-01-24,"https://mvnrepository.com/artifact/aopalliance/aopalliance","latest release","Aspect Oriented Programming Alliance Library for AOP with Spring",
"asm.migrated.jar","1.5.3",2005,"3.3.1",2022-01-24,"https://mvnrepository.com/artifact/asm/asm","no known vulnerability","changes byte code of Java classes",
"asm-attrs.migrated.jar","1.5.3",2005,"2.2.3",2022-01-24,"https://mvnrepository.com/artifact/asm/asm-attrs","no known vulnerability","changes byte code of Java classes",
"aspectjrt-1.9.1.migrated.jar","1.9.1",2018,"1.9.7",2022-01-24,"https://mvnrepository.com/artifact/org.aspectj/aspectjrt","no known vulnerability","AspectJ runtime, used by Spring for AOP",
"aspectweaver-1.9.1.migrated.jar","1.9.1",2018,"1.9.7",2022-01-24,"https://mvnrepository.com/artifact/org.aspectj/aspectjweaver","no known vulnerability",,
"barbecue-2.0.migrated.jar",2,2020,"2.0-dev",2022-01-24,"http://barbecue.sourceforge.net/index.html","no known vulnerability","barcode generator",
"bcprov-ext-jdk15to18-168.migrated.jar","1.68",2020,"1.7",2022-01-24,"https://mvnrepository.com/artifact/org.bouncycastle/bcprov-ext-jdk15to18","???","Bouncy Castle Provider",
"bcprov-jdk15to18-168.migrated.jar","1.68",2020,"1.7",2022-01-24,"https://www.bouncycastle.org/java.html, https://mvnrepository.com/artifact/org.bouncycastle/bcprov-jdk15to18","no known vulnerability","Bouncy Castle Provider",
"bsh-1.3b2.migrated.jar","1.3-b2",2005,"2.1.0",2022-01-24,"https://beanshell.github.io/home.html, https://github.com/beanshell/beanshell???","???","Bean Shell (Java Scripting Engine), used in backend code too","update?"
"bucket4j-core-6.0.1.migrated.jar","6.0.1",2021,"7.0.0",2022-01-24,"https://github.com/vladimir-bukhtoyarov/bucket4j, https://mvnrepository.com/artifact/com.github.vladimir-bukhtoyarov/bucket4j-core","???","for Leaky Bucket algorithm of API quotas",
"bval-jsr-2.0.3.migrated.jar","2.0.3",2019,"2.0.5",2022-01-24,"https://bval.apache.org/downloads.html, https://mvnrepository.com/artifact/org.apache.bval/bval-jsr","???","Java Bean Validation",
"commons-beanutils-1.9.4.migrated.jar","1.9.4",2019,"1.9.4",2022-03-16,"https://commons.apache.org/proper/commons-beanutils/","latest release","wrappers around the Java reflection and introspection APIs",
"commons-chain-1.2.migrated.jar","1.2",2008,"1.2",2022-03-16,"https://commons.apache.org/proper/commons-chain/","latest release","Chain of Responsibility pattern implemention",
"commons-codec-1.11.migrated.jar","1.11",2017,"1.1.5",2022-03-16,"https://commons.apache.org/proper/commons-codec/","no known vulnerability","general encoding/decoding algorithms (phonetic, base64, URL, etc.)",
"commons-collections-3.2.2.migrated.jar","3.2.2",2015,"3.2.2 EOL",2022-03-16,"https://commons.apache.org/proper/commons-collections/","no known vulnerability","extends or augments the Java Collections Framework",
"commons-collections4-4.1.migrated.jar","4.1",2015,"4.4",2022-03-16,"https://commons.apache.org/proper/commons-collections/","no known vulnerability","extends or augments the Java Collections Framework",
"commons-compress-1.21.jar","1.21",2021,"1.2.1",2022-03-16,"https://commons.apache.org/proper/commons-compress/","latest release","defines an API for working with tar, zip and bzip2 files",
"commons-dbcp-1.4.migrated.jar","1.4",2010,"2.9.0 („dbcp2“)",2022-03-16,"https://commons.apache.org/proper/commons-dbcp/","2.x with different package name","database connection pooling services (caching for DB access)",
"commons-digester-1.8.migrated.jar","1.8",2005,"3.2",2022-03-16,"https://commons.apache.org/proper/commons-digester/","3.x with different package name","XML-to-Java-object mapping utility",
"commons-fileupload-1.3.3.migrated.jar","1.3.3",2017,"1.4",2022-03-16,"https://commons.apache.org/proper/commons-fileupload/","1.4 removes serialization from DiskFileItem for security reasons","file upload capability for servlets and web applications","update (EMM-9275)"
"commons-httpclient-3.1.migrated.jar","3.1",2007,"3.1 EOL",2022-03-16,"https://hc.apache.org/httpclient-legacy/","migrate to httpclient 4","core HTTP functionality (authentication, cookies, proxies, redirects, etc.)","replace with 4.x (EMM-8660)"
"commons-io-2.11.0.jar","2.11.0",2021,"2.11.0",2022-03-16,"https://commons.apache.org/proper/commons-io/","latest release","collection of I/O utilities",
"commons-lang-2.4.migrated.jar","2.4",2008,"2.6",2022-03-16,"https://commons.apache.org/proper/commons-lang/","update to 2.6 to fix bugs","extra functionality for classes in java.lang","update (EMM-9350)"
"commons-lang3-3.9.migrated.jar","3.9",2019,"3.12.0",2022-03-16,"https://commons.apache.org/proper/commons-lang/","3.x with different package name","extra functionality for classes in java.lang",
"commons-logging-1.2.jar","1.2",2014,"1.2",2022-03-16,"https://commons.apache.org/proper/commons-logging/","latest release","wrapper around logging API implementations like log4j",
"commons-net-3.3.migrated.jar","3.3",2013,"3.8.0",2022-03-16,"https://commons.apache.org/proper/commons-net/","update for new methods","collection of network utilities and protocol implementations","update?"
"commons-pool-1.6.migrated.jar","1.6",2012,"2.11.1",2022-03-16,"https://commons.apache.org/proper/commons-pool/","2.x with different package name","object pooling API with various implementations (to speed up web access)",
"commons-text-1.8.migrated.jar","1.8",2019,"1.9",2022-03-16,"https://commons.apache.org/proper/commons-text/","OK","library focused on algorithms working on strings",
"cssbox-4.8.migrated.jar","4.8",2015,"4.17",2022-03-16,"https://mvnrepository.com/artifact/net.sf.cssbox/cssbox","no known vulnerability","HTML/CSS rendering engine",
"displaytag-1.1.migrated.jar","1.1",2006,"1.2",2022-03-16,"https://mvnrepository.com/artifact/displaytag/displaytag","no known vulnerability","Custom tags for web page tables",
"displaytag-export-poi-1.1.1.migrated.jar","1.1.1",2007,"1.2",2022-03-16,"https://mvnrepository.com/artifact/displaytag/displaytag-export-poi","no known vulnerability","Excel export module",
"dnsjava-3.0.2.migrated.jar","3.0.2",2020,"3.5.0",2022-03-16,"https://mvnrepository.com/artifact/dnsjava/dnsjava","no known vulnerability","DNS library",
"dom4j-2.1.3.migrated.jar","2.1.3",2020,"2.1.3",2022-03-16,"https://mvnrepository.com/artifact/org.dom4j/dom4j","latest release","XML framework with support of DOM, SAX and JAXP",
"exp4j-0.4.8.migrated.jar","0.4.8",2017,"0.4.8",2022-03-16,"https://mvnrepository.com/artifact/net.objecthunter/exp4j","latest release","math expression evaluator",
"ezmorph-1.0.6.migrated.jar","1.0.6",2008,"1.0.6",2022-03-16,"https://mvnrepository.com/artifact/net.sf.ezmorph/ezmorph","latest release","library to transform object into other object",
"htmlcleaner-2.26.jar","2.26",2022,"2.26",2022-03-31,"https://mvnrepository.com/artifact/net.sourceforge.htmlcleaner/htmlcleaner","latest release","HTML parser, because jsoup is not sufficient",
"httpclient-4.5.13.jar","4.5.13",2022,"4.5.13",2022-03-16,"https://mvnrepository.com/artifact/org.apache.httpcomponents/httpclient","latest release","core HTTP functionality",
"httpcore-4.4.13.jar","4.4.13",2022,"4.4.15",2022-03-16,"https://mvnrepository.com/artifact/org.apache.httpcomponents/httpcore","no known vulnerability","lowlevel HTTP transport components",
"istack-commons-runtime.migrated.jar","3.0.8",2019,"4.0.1",2022-03-16,"https://mvnrepository.com/artifact/com.sun.istack/istack-commons-runtime","no known vulnerability","utility code runtime (SUN/Oracle)",
